10.229.114.134 or-kdr-baibakova4-p1 Байбакова Н.К., д. 4
10.228.72.230 es1-kdr-baibakova2-p2 Байбакова Н.К., д. 2
10.228.72.231 es1-kdr-baibakova2-p3 Байбакова Н.К., д. 2
10.228.72.245 es1-kdr-kotlyarova13-p2 Котлярова Н.С., д. 13
10.228.72.239 es1-kdr-kotlyarova17-p2 Котлярова Н.С., д. 17
10.228.72.240 es1-kdr-kotlyarova17-p3 Котлярова Н.С., д. 17
10.228.72.241 es1-kdr-kotlyarova17-p4 Котлярова Н.С., д. 17
10.228.72.242 es1-kdr-kotlyarova17-p5 Котлярова Н.С., д. 17
10.228.114.171 es1-kdr-agrohim138-p2 Агрохимическая, д. 138
10.228.114.143 d1-kdr-esenina129-5-p4 Сергея Есенина, д. 129/к.5
10.228.114.178 d1-kdr-lukjanenko103-p1 Лукьяненко П.П., д. 103
10.228.114.179 d1-kdr-lukjanenko103-p2 Лукьяненко П.П., д. 103
10.228.114.180 d1-kdr-lukjanenko103-p3 Лукьяненко П.П., д. 103
10.228.114.181 d1-kdr-lukjanenko103-p4 Лукьяненко П.П., д. 103
10.228.114.182 d1-kdr-lukjanenko103-p5 Лукьяненко П.П., д. 103
10.228.114.183 d1-kdr-lukjanenko105 Лукьяненко П.П., д. 105
10.228.114.175 d1-kdr-lukjanenko101-p1 Лукьяненко П.П., д. 101
10.228.114.176 d1-kdr-lukjanenko101-p2 Лукьяненко П.П., д. 101
10.228.114.177 d1-kdr-lukjanenko101-p3 Лукьяненко П.П., д. 101
10.228.67.251 d1-kdr-ciolk3-1-p1 Циолковского, д. 3/к.1
10.228.67.252 es1-kdr-ciolk3-1-p2 Циолковского, д. 3/к.1
10.228.67.254 es1-kdr-ciolk3-p2 Циолковского, д. 3
10.228.116.148 sm1-kdr-ats6 Северная, д. 279
10.228.74.19 d1-kdr-chekistov26-p1 Чекистов, д. 26
10.228.74.20 d1-kdr-chekistov26-p2 Чекистов, д. 26
10.228.74.21 d1-kdr-chekistov26-p3 Чекистов, д. 26
10.228.114.186 d1-kdr-dushis51-p2 Душистая, д. 51
10.228.114.187 d1-kdr-dushis53-p2 Душистая, д. 53
10.228.114.188 d1-kdr-dushis55-p1 Душистая, д. 55
10.228.114.189 d1-kdr-dushis57-p1 Душистая, д. 57
10.228.114.190 d1-kdr-dushis59-p1 Душистая, д. 59
10.228.114.191 d1-kdr-dushis61-p1 Душистая, д. 61
10.228.114.192 d1-kdr-dushis63-p2 Душистая, д. 63
10.228.114.206 d1-kdr-dushis65-p1 Душистая, д. 65
10.228.114.193 d1-kdr-dushis67-p1 Душистая, д. 67
10.228.114.194 d1-kdr-dushis69-p1 Душистая, д. 69
10.228.114.195 d1-kdr-dushis75-p2 Душистая, д. 75
10.228.70.113 d1-kdr-3celino1-p1 3-я Целиноградская, д. 1
10.228.114.253 d1-kdr-3celino1-p2 3-я Целиноградская, д. 1
10.228.119.11 d1-kdr-dushis49-p1 Душистая, д. 49
10.228.119.12 d1-kdr-dushis49-p2 Душистая, д. 49
10.228.119.13 d1-kdr-dushis47-p1 Душистая, д. 47
10.228.119.14 d1-kdr-dushis47-p2 Душистая, д. 47
10.228.114.221 qs1-kdr-dushis71-p1 Душистая, д. 71
10.228.114.226 qs1-kdr-dushis73-p2 Душистая, д. 73
10.228.114.232 qs1-kdr-2celino1-p1 2-я Целиноградская, д. 1
10.228.114.233 qs1-kdr-2celino1-p2 2-я Целиноградская, д. 1
10.228.114.224 qs1-kdr-2celino3-p1 2-я Целиноградская, д. 3
10.228.114.225 qs1-kdr-2celino3-p2 2-я Целиноградская, д. 3
10.228.114.235 qs1-kdr-2celino5-p2 2-я Целиноградская, д. 5
10.228.114.234 es1-kdr-2celino7-p1 2-я Целиноградская, д. 7
10.228.114.227 qs1-kdr-2celino9-p1 2-я Целиноградская, д. 9
10.228.114.231 qs1-kdr-3celino6-p2 3-я Целиноградская, д. 6
10.228.114.229 qs1-kdr-3celino8-p1 3-я Целиноградская, д. 8
10.228.114.228 qs1-kdr-3celino10-p1 3-я Целиноградская, д. 10
10.228.114.230 qs1-kdr-3celino4-p2 3-я Целиноградская, д. 4
10.228.114.222 qs1-kdr-3celino2-p1 3-я Целиноградская, д. 2
10.228.114.223 qs1-kdr-3celino2-p2 3-я Целиноградская, д. 2
10.228.114.245 es1-kdr-2celino13-p1 2-я Целиноградская, д. 13
10.228.114.246 es1-kdr-2celino13-p2 2-я Целиноградская, д. 13
10.228.114.248 es1-kdr-2celino11-p1 2-я Целиноградская, д. 11
10.228.114.247 es1-kdr-2celino11-p2 2-я Целиноградская, д. 11
10.228.114.252 es1-kdr-3celino16-p1 3-я Целиноградская, д. 16
10.228.114.251 es1-kdr-3celino16-p2 3-я Целиноградская, д. 16
10.228.114.250 es1-kdr-3celino14-p1 3-я Целиноградская, д. 14
10.228.114.249 es1-kdr-3celino14-p2 3-я Целиноградская, д. 14
10.228.119.4 d1-kdr-3celino5-p1 3-я Целиноградская, д. 5
10.228.119.5 d1-kdr-3celino5-p2 3-я Целиноградская, д. 5
10.228.119.6 d1-kdr-3celino5-p3 3-я Целиноградская, д. 5
10.228.119.7 d1-kdr-3celino7-p1 3-я Целиноградская, д. 7
10.228.119.8 d1-kdr-3celino7-p2 3-я Целиноградская, д. 7
10.228.119.9 d1-kdr-3celino9-p1 3-я Целиноградская, д. 9
10.228.119.10 d1-kdr-3celino9-p2 3-я Целиноградская, д. 9
10.228.117.23 d1-kdr-mosk82-p1 Московская, д. 82
10.228.117.24 d1-kdr-mosk82-p4 Московская, д. 82
10.228.67.228 d1-kdr-atarbekova28-p2 Атарбекова, д. 28
10.228.67.229 d1-kdr-atarbekova28-p5 Атарбекова, д. 28
10.228.67.231 d1-kdr-atarbekova24-p7 Атарбекова, д. 24
10.228.67.238 d1-kdr-gertsena192-p1 Герцена, д. 192
10.228.118.20 d1-kdr-gertsena192-p6 Герцена, д. 192
10.228.67.234 d1-kdr-gertsena190-p2 Герцена, д. 190
10.228.67.235 d1-kdr-gertsena190-p7 Герцена, д. 190
10.228.67.239 d1-kdr-gertsena188-p3 Герцена, д. 188
10.228.117.10 d1-kdr-karyakina1 Карякина, д. 1
10.228.67.221 es1-kdr-luzana14-p2 Федора Лузана, д. 14
10.228.117.6 d1-kdr-mosk80-p1 Московская, д. 80
10.228.117.7 d1-kdr-mosk80-p2 Московская, д. 80
10.228.117.8 d1-kdr-mosk80-p3 Московская, д. 80
10.228.117.9 d1-kdr-mosk80-p4 Московская, д. 80
10.228.117.21 d1-kdr-mosk86-p1 Московская, д. 86
10.228.117.22 d1-kdr-mosk86-p2 Московская, д. 86
10.228.72.22 d1-kdr-mosk90-p1 Московская, д. 90
10.228.117.16 d1-kdr-mosk90-p2 Московская, д. 90
10.228.117.17 d1-kdr-mosk90-p3 Московская, д. 90
10.228.117.18 d1-kdr-mosk90-p4 Московская, д. 90
10.228.117.19 d1-kdr-mosk88-p1 Московская, д. 88
10.228.117.20 d2-kdr-mosk88-p1 Московская, д. 88
10.228.72.253 d1-kdr-mosk66-p1 Московская, д. 66
10.228.72.254 d1-kdr-mosk66-p2 Московская, д. 66
10.228.117.4 d1-kdr-mosk66-p3 Московская, д. 66
10.228.117.5 d1-kdr-mosk66-p4 Московская, д. 66
10.228.67.222 es1-kdr-svobod6-p2 Свободы, д. 6
10.228.67.223 es1-kdr-svobod6-p5 Свободы, д. 6
10.228.67.224 es1-kdr-svobod15-1-p2 Свободы, д. 15/к.1
10.228.67.225 es1-kdr-svobod15-1-p5 Свободы, д. 15/к.1
10.228.74.28 d1-kdr-lenina70-p2 Ленина, д. 70
10.228.68.33 qs1-kdr-lenina70-p7 Ленина, д. 70
10.228.74.27 d1-kdr-dumenko14-p2 Думенко, д. 14
10.228.68.37 qs2-kdr-dumenko14-p5 Думенко, д. 14
10.228.114.136 d1-kdr-esenina129-p3 Сергея Есенина, д. 129
10.228.114.208 d2-kdr-esenina129-p3 Сергея Есенина, д. 129
10.228.74.16 d1-kdr-berez89-p1 Березанская, д. 89
10.228.74.26 d1-kdr-berez89-p2 Березанская, д. 89
10.228.74.24 d1-kdr-gudimi32-p2 Гудимы, д. 32
10.228.78.44 d2-kdr-urals146-p1 Уральская, д. 146
10.228.114.205 d1-kdr-mosk140-v-p1 Московская, д. 140/к.в
10.228.70.147 es1-kdr-mosk140-v-p1 Московская, д. 140/к.в
10.228.70.148 es1-kdr-mosk140-v-p3 Московская, д. 140/к.в
10.228.70.105 es1-kdr-shalyapin31-v-p1 Шаляпина Ф.И., д. 31/к.в
10.228.70.167 qs1-kdr-shalyapin31-v-p1 Шаляпина Ф.И., д. 31/к.в
10.228.70.106 es1-kdr-shalyapin31-v-p3 Шаляпина Ф.И., д. 31/к.в
10.228.114.204 d1-kdr-shalyapin31-v-p5 Шаляпина Ф.И., д. 31/к.в
10.228.70.107 es1-kdr-shalyapin31-v-p5 Шаляпина Ф.И., д. 31/к.в
10.228.74.34 d1-kdr-berez89-p3 Березанская, д. 89
10.228.117.34 d1-kdr-averkieva20-p1 Аверкиева А.А., д. 20
10.228.77.145 d3-kdr-simfe26 Симферопольская, д. 26
10.228.114.139 d1-kdr-esenina141-p2 Сергея Есенина, д. 141
10.228.114.203 d2-kdr-esenina141-p2 Сергея Есенина, д. 141
10.228.114.202 d2-kdr-esenina129-5-p2 Сергея Есенина, д. 129/к.5
10.228.117.27 d1-kdr-averkieva20-p3 Аверкиева А.А., д. 20
10.228.73.216 d1-kdr-yankovskogo11-p1 Гимназическая, д. 60
10.228.74.22 d1-kdr-taganrog1-p3 Таганрогская, д. 1
10.228.117.26 d1-kdr-zip37-p4 Зиповская, д. 37
10.228.78.43 d2-kdr-urals180-p6 Уральская, д. 180
10.228.77.188 d1-kdr-urals180-p9 Уральская, д. 180
10.228.77.189 qs1-kdr-urals180-p9 Уральская, д. 180
10.228.114.24 es1-kdr-angar2-5-p2 Ангарская, д. 2/к.5
10.228.114.132 es2-kdr-angar2-5-p2 Ангарская, д. 2/к.5
10.228.114.23 es1-kdr-angar2-5-p4 Ангарская, д. 2/к.5
10.228.114.201 d1-kdr-angar2-5-p4 Ангарская, д. 2/к.5
10.228.114.137 d1-kdr-esenina131-p3 Сергея Есенина, д. 131
10.228.114.200 d2-kdr-esenina131-p3 Сергея Есенина, д. 131
10.228.70.151 es1-kdr-mosk140-g-p1 Московская, д. 140/к.г
10.228.114.199 d1-kdr-mosk140-g-p1 Московская, д. 140/к.г
10.228.66.67 d1-kdr-kozhev42-1 Кожевенная, д. 42/к.1
10.228.70.220 qs1-kdr-garazh79-p1 Гаражная, д. 79
10.228.70.221 qs1-kdr-garazh79-p2 Гаражная, д. 79
10.228.114.207 d1-kdr-garazh79-p2 Гаражная, д. 79
10.228.114.144 es1-kdr-garazh79-p3 Гаражная, д. 79
10.228.70.222 qs1-kdr-garazh79-p3 Гаражная, д. 79
10.228.70.223 es1-kdr-garazh79-p4 Гаражная, д. 79
10.228.114.160 es2-kdr-garazh79-p4 Гаражная, д. 79
10.228.117.12 d1-kdr-derbent18-p2 Дербентская, д. 18
10.228.72.95 qs2-kdr-derbent18-p3 Дербентская, д. 18
10.228.65.171 d1-kdr-vkrug48-p1 Восточно-Кругликовская, д. 48
10.228.66.69 d1-kdr-kalinina350-9-p1 Калинина, д. 350/к.9
10.228.114.210 d1-kdr-prokof3-b-p1 Прокофьева С.С., д. 3/к.б
10.228.114.12 es1-kdr-prokof3-b-p1 Прокофьева С.С., д. 3/к.б
10.228.77.160 qs2-kdr-sormo204-p2 Сормовская, д. 204
10.228.77.165 qs2-kdr-sormo204-p3 Сормовская, д. 204
10.228.77.157 qs1-kdr-sormo204-p4 Сормовская, д. 204
10.228.77.158 qs2-kdr-sormo204-p4 Сормовская, д. 204
10.228.77.156 qs1-kdr-sormo204-p5 Сормовская, д. 204
10.228.74.17 d1-kdr-stavr242-p3 Ставропольская, д. 242
10.228.114.172 d1-kdr-krasnpar75-p8 Красных Партизан, д. 75
10.228.114.138 d1-kdr-esenina137-p2 Сергея Есенина, д. 137
10.228.114.173 d2-kdr-esenina137-p2 Сергея Есенина, д. 137
10.228.114.19 d1-kdr-angar29-1-a-p2 Ангарская, д. 29/к.1а
10.228.64.42 d2-kdr-angar29-1-a-p2 Ангарская, д. 29/к.1а
10.228.117.11 d1-kdr-dombai3 Домбайская, д. 3
10.228.71.156 es1-kdr-ippodrom49-p7 Ипподромная, д. 49
10.228.72.175 d1-kdr-averkieva4-p1 Аверкиева А.А., д. 4
10.228.72.188 d1-kdr-razved21-2-p1 Героев-Разведчиков, д. 21/к.2
10.228.72.189 d1-kdr-razved21-2-p2 Героев-Разведчиков, д. 21/к.2
10.228.117.38 d2-kdr-razved21-2-p2 Героев-Разведчиков, д. 21/к.2
10.228.117.91 es1-kdr-razved21-2-p3 Героев-Разведчиков, д. 21/к.2
10.228.117.15 d1-kdr-razved21-2-p3 Героев-Разведчиков, д. 21/к.2
10.228.72.157 d1-kdr-40lp33-8-p2 40-летия Победы, д. 33/к.8
10.228.117.13 d1-kdr-40lp33-8-p3 40-летия Победы, д. 33/к.8
10.228.65.146 qs1-kdr-40lp33-8-p4 40-летия Победы, д. 33/к.8
10.228.65.155 qs2-kdr-zip41-p1 Зиповская, д. 41
10.228.72.251 qs2-kdr-zip41-p2 Зиповская, д. 41
10.228.117.32 d1-kdr-zip41-p3 Зиповская, д. 41
10.228.67.149 es1-kdr-chernob8-p1 Памяти Чернобыльцев, д. 8
10.228.67.227 qs1-kdr-chernob8-p2 Памяти Чернобыльцев, д. 8
10.228.74.15 qs2-kdr-70lo12-1 70-летия Октября, д. 12/к.1
10.228.66.65 qs1-kdr-kozhev30-p2 Кожевенная, д. 30
10.228.72.248 es3-kdr-dombai9 Домбайская, д. 9
10.228.78.39 d2-kdr-urals150-p1 Уральская, д. 150
10.228.72.138 es1-kdr-razved26-3 Героев-Разведчиков, д. 26/к.3
10.228.71.106 qs1-kdr-razved26-3 Героев-Разведчиков, д. 26/к.3
10.228.114.140 d1-kdr-esenina129-7-p2 Сергея Есенина, д. 129/к.7
10.228.79.20 d1-pash-sadovaya7-1-p1 Садовая, д. 7/к.1
10.228.70.197 es1-kdr-rahman35-p1 Рахманинова С.В., д. 35
10.228.114.163 qs1-kdr-rahman35-p1 Рахманинова С.В., д. 35
10.228.117.36 d1-kdr-zip23-p1 Зиповская, д. 23
10.228.117.25 d1-kdr-ippodrom49-p3 Ипподромная, д. 49
10.228.117.43 d1-kdr-ross138-p2 Российская, д. 138
10.228.72.168 es1-kdr-ross138-p3 Российская, д. 138
10.228.74.30 d1-kdr-mira55-p3 Мира, д. 55
10.228.78.49 d2-kdr-sormo108-2-p2 Сормовская, д. 108/к.2
10.228.77.229 qs1-kdr-sormo108-2-p3 Сормовская, д. 108/к.2
10.228.78.48 d1-kdr-tulae7 Тюляева, д. 7
10.228.78.23 es1-kdr-sormo9-p2 Сормовская, д. 9
10.228.117.37 d1-kdr-zip31-p3 Зиповская, д. 31
10.228.72.220 d1-kdr-averkieva2-p2 Аверкиева А.А., д. 2
10.228.72.136 es1-kdr-razved26-4 Героев-Разведчиков, д. 26/к.4
10.228.72.137 es2-kdr-razved26-4 Героев-Разведчиков, д. 26/к.4
10.228.65.91 qs1-kdr-razved26-4 Героев-Разведчиков, д. 26/к.4
10.228.114.151 d1-kdr-musorgsk6-p2 Мусоргского М.П., д. 6
10.228.114.169 qs1-kdr-musorgsk6-p2 Мусоргского М.П., д. 6
10.228.67.183 es1-kdr-ciolk7 Циолковского, д. 7
10.228.67.165 es2-kdr-ciolk5-p1 Циолковского, д. 5
10.228.67.172 es2-kdr-ciolk5-p2 Циолковского, д. 5
10.228.72.219 es1-kdr-vkrug74-p2 Восточно-Кругликовская, д. 74
10.228.72.73 qs1-kdr-artush15-p1 Артюшкова В.Д., д. 15
10.228.72.71 es1-kdr-artush15-p2 Артюшкова В.Д., д. 15
10.228.72.72 es1-kdr-artush15-p3 Артюшкова В.Д., д. 15
10.228.72.214 es2-kdr-artush15-p3 Артюшкова В.Д., д. 15
10.228.114.48 es1-kdr-rahman25-p2 Рахманинова С.В., д. 25
10.228.114.145 es2-kdr-rahman25-p2 Рахманинова С.В., д. 25
10.228.66.63 es2-kdr-kozhev24-p4 Кожевенная, д. 24
10.228.66.47 qs1-kdr-kalinina350-3-p1 Калинина, д. 350/к.3
10.228.66.62 es2-kdr-kalinina350-3-p2 Калинина, д. 350/к.3
10.228.75.41 d1-kdr-stavr45-2-p2 Ставропольская, д. 45/к.2
10.228.75.37 es1-kdr-stavr45-2-p2 Ставропольская, д. 45/к.2
10.228.75.36 es1-kdr-stavr45-2-p5 Ставропольская, д. 45/к.2
10.228.114.133 es1-kdr-krasnpar161-2-p7 Красных Партизан, д. 161/к.2
10.228.114.129 d1-kdr-shalyapin31-a-p2 Шаляпина Ф.И., д. 31/к.а
10.228.70.101 es1-kdr-shalyapin31-a-p2 Шаляпина Ф.И., д. 31/к.а
10.228.70.102 es1-kdr-shalyapin31-a-p3 Шаляпина Ф.И., д. 31/к.а
10.228.70.103 es1-kdr-shalyapin31-b-p2 Шаляпина Ф.И., д. 31/к.б
10.228.114.125 es2-kdr-shalyapin31-b-p2 Шаляпина Ф.И., д. 31/к.б
10.228.70.104 es1-kdr-shalyapin31-b-p3 Шаляпина Ф.И., д. 31/к.б
10.228.72.199 es1-kdr-40lp113 40-летия Победы, д. 113
10.228.114.96 d1-kdr-krasnpar161-3-p6 Красных Партизан, д. 161/к.3
10.228.114.128 es2-kdr-esenina84-p2 Сергея Есенина, д. 84
10.228.67.161 d1-kdr-poluyana46-p2 Яна Полуяна, д. 46
10.228.70.138 d1-kdr-esenina86-p5 Сергея Есенина, д. 86
10.228.114.106 d2-kdr-esenina86-p5 Сергея Есенина, д. 86
10.228.72.190 d1-kdr-zip45-p3 Зиповская, д. 45
10.228.66.49 qs1-kdr-kalinina350-5-p1 Калинина, д. 350/к.5
10.228.66.61 d1-kdr-kalinina350-5-p2 Калинина, д. 350/к.5
10.228.114.131 es2-kdr-suzdal1-p1 Суздальская, д. 1
10.228.74.11 es1-kdr-kalinina13-43-p2 Калинина, д. 13/к.43
10.228.72.111 qs1-kdr-averkieva22-p1 Аверкиева А.А., д. 22
10.228.72.223 es2-kdr-averkieva22-p2 Аверкиева А.А., д. 22
10.228.71.104 d1-kdr-averkieva22-p3 Аверкиева А.А., д. 22
10.228.72.172 d1-kdr-averkieva22-p4 Аверкиева А.А., д. 22
10.228.65.18 es1-kdr-averkieva22-p5 Аверкиева А.А., д. 22
10.228.72.184 d1-kdr-40lp33-5-p1 40-летия Победы, д. 33/к.5
10.228.72.178 d1-kdr-40lp33-5-p2 40-летия Победы, д. 33/к.5
10.228.117.14 qs2-kdr-40lp33-5-p2 40-летия Победы, д. 33/к.5
10.228.73.45 d1-kdr-sevas6-1 Севастопольская, д. 6/к.1
10.228.114.109 d1-kdr-rahman33-p2 Рахманинова С.В., д. 33
10.228.70.196 es1-kdr-rahman33-p2 Рахманинова С.В., д. 33
10.228.76.193 d3-kdr-trudo20-p4 Трудовой Славы, д. 20
10.228.73.12 d1-kdr-kiev1-p1 Киевская, д. 1
10.228.68.39 qs2-kdr-kiev1-p2 Киевская, д. 1
10.228.114.105 d1-kdr-dunaev10 Дунаевского И.И., д. 10
10.228.70.215 es1-kdr-dunaev10 Дунаевского И.И., д. 10
10.228.72.177 d1-kdr-karyakina25-p2 Карякина, д. 25
10.228.66.60 d1-kdr-kalinina350-8-p1 Калинина, д. 350/к.8
10.228.66.57 es2-kdr-kalinina350-8-p2 Калинина, д. 350/к.8
10.228.66.64 es3-kdr-kalinina350-8-p2 Калинина, д. 350/к.8
10.228.114.97 d1-kdr-esenina84-a-p2 Сергея Есенина, д. 84/к.а
10.228.72.6 qs1-kdr-vkrug65-p3 Восточно-Кругликовская, д. 65
10.228.114.95 d1-kdr-esenina108-6-a-p2 Сергея Есенина, д. 108/к.6а
10.228.114.243 d2-kdr-esenina108-6-a-p2 Сергея Есенина, д. 108/к.6а
10.228.114.29 es1-kdr-esenina108-6-a-p2 Сергея Есенина, д. 108/к.6а
10.228.70.200 es1-kdr-prokof29-p1 Прокофьева С.С., д. 29
10.228.70.201 es1-kdr-prokof29-p2 Прокофьева С.С., д. 29
10.228.114.94 d1-kdr-prokof29-p2 Прокофьева С.С., д. 29
10.228.72.83 es1-kdr-artush5-p1 Артюшкова В.Д., д. 5
10.228.72.86 es1-kdr-artush5-p2 Артюшкова В.Д., д. 5
10.228.72.87 es1-kdr-artush5-p3 Артюшкова В.Д., д. 5
10.228.71.151 d1-kdr-artush5-p3 Артюшкова В.Д., д. 5
10.228.72.88 es1-kdr-artush5-p4 Артюшкова В.Д., д. 5
10.228.72.173 d1-kdr-artush5-p4 Артюшкова В.Д., д. 5
10.228.72.174 d1-kdr-artush5-p5 Артюшкова В.Д., д. 5
10.228.72.89 es1-kdr-artush5-p5 Артюшкова В.Д., д. 5
10.228.114.31 es1-kdr-musorgsk17-p2 Мусоргского М.П., д. 17
10.228.114.168 qs1-kdr-musorgsk17-p2 Мусоргского М.П., д. 17
10.228.72.14 qs2-kdr-vkrug69-p4 Восточно-Кругликовская, д. 69
10.228.77.45 d1-kdr-tulae20-p7 Тюляева, д. 20
10.228.67.158 es1-kdr-ciolk9 Циолковского, д. 9
10.228.70.80 es1-kdr-rahman30-p2 Рахманинова С.В., д. 30
10.228.70.87 es2-kdr-rahman30-p2 Рахманинова С.В., д. 30
10.228.70.153 es3-kdr-rahman30-p2 Рахманинова С.В., д. 30
10.228.114.54 es4-kdr-rahman30-p2 Рахманинова С.В., д. 30
10.228.72.171 es1-kdr-vologod20-p3 Вологодская, д. 20
10.228.114.41 es1-kdr-lukjanenko95-4 Лукьяненко П.П., д. 95/к.4
10.228.66.52 es2-kdr-kozhev40 Кожевенная, д. 40
10.228.114.30 es1-kdr-esenina108-6-b-p1 Сергея Есенина, д. 108/к.6б
10.228.114.39 es2-kdr-esenina108-6-b-p1 Сергея Есенина, д. 108/к.6б
10.228.64.32 qs1-kdr-esenina108-6-b-p1 Сергея Есенина, д. 108/к.6б
10.228.68.138 es1-kdr-selez180-p2 Селезнева, д. 180
10.228.72.156 d1-kdr-dombai7 Домбайская, д. 7
10.228.72.155 d1-kdr-ukr47-p2 Украинская, д. 47
10.228.114.25 d1-kdr-esenina84-g-p2 Сергея Есенина, д. 84/к.г
10.228.114.99 d2-kdr-esenina84-g-p2 Сергея Есенина, д. 84/к.г
10.228.74.8 d2-kdr-gudimi64-1-p2 Гудимы, д. 64/к.1
10.228.114.21 d1-kdr-prokof31-p1 Прокофьева С.С., д. 31
10.228.64.77 d2-kdr-prokof31-p1 Прокофьева С.С., д. 31
10.228.70.198 es1-kdr-prokof31-p1 Прокофьева С.С., д. 31
10.228.114.197 d1-kdr-prokof31-p2 Прокофьева С.С., д. 31
10.228.70.199 es1-kdr-prokof31-p2 Прокофьева С.С., д. 31
10.228.114.40 es2-kdr-prokof31-p2 Прокофьева С.С., д. 31
10.228.114.10 d1-kdr-rahman24-p2 Рахманинова С.В., д. 24
10.228.70.78 es1-kdr-rahman24-p2 Рахманинова С.В., д. 24
10.228.70.90 es2-kdr-rahman24-p2 Рахманинова С.В., д. 24
10.228.70.154 es3-kdr-rahman24-p2 Рахманинова С.В., д. 24
10.228.72.147 d1-kdr-cherk39 Черкасская, д. 39
10.228.78.22 d1-kdr-tulae9 Тюляева, д. 9
10.228.77.119 qs1-kdr-tulae9 Тюляева, д. 9
10.228.72.93 es1-kdr-artush3-p1 Артюшкова В.Д., д. 3
10.228.72.94 es2-kdr-artush3-p1 Артюшкова В.Д., д. 3
10.228.72.92 es1-kdr-artush3-p2 Артюшкова В.Д., д. 3
10.228.72.118 qs1-kdr-artush3-p2 Артюшкова В.Д., д. 3
10.228.72.91 es1-kdr-artush3-p3 Артюшкова В.Д., д. 3
10.228.72.146 d1-kdr-artush3-p4 Артюшкова В.Д., д. 3
10.228.72.90 es1-kdr-artush3-p4 Артюшкова В.Д., д. 3
10.228.72.142 es2-kdr-ukr49-p2 Украинская, д. 49
10.228.78.27 es1-kdr-urals152-p1 Уральская, д. 152
10.228.74.32 es1-kdr-fabr10-p1 Фабричная, д. 10
10.228.68.47 es1-kdr-fabr10-p2 Фабричная, д. 10
10.228.68.87 qs1-kdr-fabr10-p3 Фабричная, д. 10
10.228.72.108 es1-kdr-oficer50-a-p2 Офицерская, д. 50/к.А
10.228.72.113 qs1-kdr-oficer50-a-p2 Офицерская, д. 50/к.А
10.228.72.179 d1-kdr-vkrug46-a-p1 Восточно-Кругликовская, д. 46/к.А
10.228.72.180 d1-kdr-vkrug46-a-p2 Восточно-Кругликовская, д. 46/к.А
10.228.71.131 es1-kdr-vkrug46-a-p2 Восточно-Кругликовская, д. 46/к.А
10.228.72.99 es1-kdr-kotlyarova11-p1 Котлярова Н.С., д. 11
10.228.72.96 es1-kdr-kotlyarova11-p4 Котлярова Н.С., д. 11
10.228.72.107 es1-kdr-kotlyarova11-p6 Котлярова Н.С., д. 11
10.228.72.125 qs1-kdr-vkrug64-p3 Восточно-Кругликовская, д. 64
10.228.70.228 qs2-kdr-kozhev58-p1 Кожевенная, д. 58
10.228.68.44 qs1-kdr-kommunarov50-p3 Коммунаров, д. 50
10.228.68.42 qs1-kdr-mira57-p2 Мира, д. 57
10.228.70.11 es1-kdr-prokof15-p2 Прокофьева С.С., д. 15
10.228.70.218 qs1-kdr-prokof15-p2 Прокофьева С.С., д. 15
10.228.70.64 es1-kdr-prokof15-p4 Прокофьева С.С., д. 15
10.228.77.215 qs1-kdr-sormo185-p3 Сормовская, д. 185
10.228.77.216 qs2-kdr-sormo185-p3 Сормовская, д. 185
10.228.78.25 qs3-kdr-sormo185-p3 Сормовская, д. 185
10.228.77.218 d1-kdr-urals194-p8 Уральская, д. 194
10.228.77.4 d2-kdr-urals194-p8 Уральская, д. 194
10.228.72.117 qs2-kdr-vkrug48-2-p4 Восточно-Кругликовская, д. 48/к.2
10.228.65.68 es2-kdr-cherk58-p2 Черкасская, д. 58
10.228.72.116 qs1-kdr-cherk58-p3 Черкасская, д. 58
10.228.72.81 es2-kdr-cherk58-p4 Черкасская, д. 58
10.228.66.51 qs1-kdr-kalinina350-7-p1 Калинина, д. 350/к.7
10.228.66.59 d1-kdr-kalinina350-7-p2 Калинина, д. 350/к.7
10.228.70.68 es1-kdr-esenina121-p2 Сергея Есенина, д. 121
10.228.114.148 es2-kdr-esenina121-p2 Сергея Есенина, д. 121
10.228.70.122 qs1-kdr-esenina121-p2 Сергея Есенина, д. 121
10.228.118.21 qs1-kdr-atarbekova30-p2 Атарбекова, д. 30
10.228.118.22 es1-kdr-atarbekova30-p5 Атарбекова, д. 30
10.228.117.29 d1-kdr-averkieva8-p1 Аверкиева А.А., д. 8
10.228.70.88 es2-kdr-rahman28-p2 Рахманинова С.В., д. 28
10.228.70.155 es3-kdr-rahman28-p2 Рахманинова С.В., д. 28
10.228.70.251 es4-kdr-rahman28-p2 Рахманинова С.В., д. 28
10.228.118.25 d1-kdr-gagarina81-p2 Гагарина, д. 81
10.228.118.26 d1-kdr-gagarina81-p5 Гагарина, д. 81
10.228.70.171 qs1-kdr-rahman28-p2 Рахманинова С.В., д. 28
10.228.66.50 qs1-kdr-kalinina350-4-p3 Калинина, д. 350/к.4
10.228.70.170 qs2-kdr-krasnpar81-p2 Красных Партизан, д. 81
10.228.70.8 es1-kdr-krasnpar81-p3 Красных Партизан, д. 81
10.228.68.38 qs1-kdr-sedina35-p3 Митрофана Седина, д. 35
10.228.70.77 es1-kdr-rahman22-p2 Рахманинова С.В., д. 22
10.228.70.86 es2-kdr-rahman22-p2 Рахманинова С.В., д. 22
