10.229.114.134 or-kdr-baibakova4-p1 Байбакова Н.К., д. 4
10.229.116.116 or-kdr-ishunina7-1 Архитектора Ишунина, д. 7/к.1к1
10.229.116.117 or-kdr-ishunina7-2-p1 Архитектора Ишунина, д. 7/к.1к2
10.229.116.77 or-kdr-kazbek15-p1 Казбекская, д. 15
10.229.116.78 or-kdr-kazbek15-p2 Казбекская, д. 15
10.229.116.144 or-kdr-petina12-p1 Архитектора Петина, д. 12
10.229.116.141 sd-kdr-petina14-p1 Архитектора Петина, д. 14
10.229.116.147 or-kdr-petina16-p1 Архитектора Петина, д. 16
10.229.116.214 sd-kdr-petina18-1-p1 Архитектора Петина, д. 18/к.1
10.229.116.143 sd-kdr-petina12-p2 Архитектора Петина, д. 12
10.229.116.142 or-kdr-petina12-p3 Архитектора Петина, д. 12
10.229.116.140 sd-kdr-petina14-p2 Архитектора Петина, д. 14
10.229.116.139 or-kdr-petina14-p3 Архитектора Петина, д. 14
10.229.116.149 sd-kdr-petina16-p3 Архитектора Петина, д. 16
10.229.116.148 or-kdr-petina16-p2 Архитектора Петина, д. 16
10.229.116.145 or-kdr-petina18-1-p2 Архитектора Петина, д. 18/к.1
10.229.116.146 sd-kdr-petina18-2-p1 Архитектора Петина, д. 18/к.2
10.229.116.150 sd-kdr-petina18-3-p1 Архитектора Петина, д. 18/к.3
10.229.116.152 sd-kdr-petina18-2-p2 Архитектора Петина, д. 18/к.2
10.229.116.151 sd-kdr-petina18-3-p2 Архитектора Петина, д. 18/к.3
10.229.112.154 sd-kdr-40lp135-p1 40-летия Победы, д. 135
10.229.112.155 or1-kdr-40lp135-p1 40-летия Победы, д. 135
10.229.112.156 or2-kdr-40lp137-p1 40-летия Победы, д. 137
10.229.112.159 or2-kdr-40lp139-p1 40-летия Победы, д. 139
10.229.112.157 or1-kdr-40lp137-p1 40-летия Победы, д. 137
10.229.112.158 or1-kdr-40lp139-p1 40-летия Победы, д. 139
10.229.112.165 or2-kdr-40lp141-p1 40-летия Победы, д. 141
10.229.112.161 or2-kdr-40lp143-p1 40-летия Победы, д. 143
10.229.112.160 or1-kdr-40lp141-p1 40-летия Победы, д. 141
10.229.112.164 or1-kdr-40lp143-p1 40-летия Победы, д. 143
10.229.112.163 sd-kdr-40lp145-p1 40-летия Победы, д. 145
10.229.112.162 or1-kdr-40lp145-p1 40-летия Победы, д. 145
10.229.117.24 or1-kdr-rozhdest2 Рождественская Набережная, д. 2
10.229.117.26 or1-kdr-rozhdest4 Рождественская Набережная, д. 4
10.229.117.23 or2-kdr-rozhdest2 Рождественская Набережная, д. 2
10.229.117.25 or2-kdr-rozhdest4 Рождественская Набережная, д. 4
10.229.117.58 sd-kdr-rozhdest35-p1 Рождественская Набережная, д. 35
10.229.117.59 sd-kdr-rozhdest35-p2 Рождественская Набережная, д. 35
10.229.117.60 or-kdr-rozhdest35-p3 Рождественская Набережная, д. 35
10.229.117.47 or-kdr-rozhdest35-1-p1 Рождественская Набережная, д. 35/к.1
10.229.117.62 sd-kdr-rozhdest35-1-p2 Рождественская Набережная, д. 35/к.1
10.229.117.61 or-kdr-rozhdest35-1-p3 Рождественская Набережная, д. 35/к.1
10.229.117.52 sd-kdr-rozhdest37-p1 Рождественская Набережная, д. 37
10.229.117.51 or-kdr-rozhdest37-p2 Рождественская Набережная, д. 37
10.229.117.50 or-kdr-rozhdest37-p3 Рождественская Набережная, д. 37
10.229.117.49 sd-kdr-rozhdest37-p4 Рождественская Набережная, д. 37
10.229.117.48 sd-kdr-rozhdest37-p5 Рождественская Набережная, д. 37
10.229.117.57 or-kdr-rozhdest41-p1 Рождественская Набережная, д. 41
10.229.117.56 sd-kdr-rozhdest41-p2 Рождественская Набережная, д. 41
10.229.117.55 sd-kdr-rozhdest41-p3 Рождественская Набережная, д. 41
10.229.117.54 or-kdr-rozhdest41-p4 Рождественская Набережная, д. 41
10.229.117.53 or-kdr-rozhdest41-p5 Рождественская Набережная, д. 41
10.229.122.13 sd-kdr-selez246-p1 Селезнева, д. 246
10.229.122.11 sd-kdr-selez248-p1 Селезнева, д. 248
10.229.122.12 sd-kdr-selez248-p2 Селезнева, д. 248
10.228.108.47 or-kdr-korenov61-p1 Кореновская, д. 61
10.228.127.14 sd-kdr-korenov61-p2 Кореновская, д. 61
10.228.107.131 or-kdr-korenov61-p3 Кореновская, д. 61
10.228.127.235 sd-kdr-korenov61-p4 Кореновская, д. 61
10.228.127.161 sd-kdr-korenov61-p5 Кореновская, д. 61
10.228.107.227 or-kdr-korenov63-p1 Кореновская, д. 63
10.228.107.130 or-kdr-korenov63-p2 Кореновская, д. 63
10.228.127.89 sd-kdr-korenov65-p1 Кореновская, д. 65
10.228.127.234 sd-kdr-korenov65-p2 Кореновская, д. 65
10.228.108.46 or-kdr-korenov69-p1 Кореновская, д. 69
10.228.108.45 or-kdr-korenov73-p1 Кореновская, д. 73
10.228.108.44 or-kdr-korenov69-p2 Кореновская, д. 69
10.228.108.43 or-kdr-korenov73-p2 Кореновская, д. 73
10.228.107.129 or-kdr-korenov73-p3 Кореновская, д. 73
10.228.107.128 or-kdr-korenov73-p4 Кореновская, д. 73
10.229.119.17 or-kdr-gidro57-p1 Гидростроителей, д. 57
10.229.119.20 sd-kdr-gidro61-p1 Гидростроителей, д. 61
10.229.119.57 sd-kdr-gidro57-p2 Гидростроителей, д. 57
10.229.119.18 or-kdr-gidro59-p2 Гидростроителей, д. 59
10.229.119.21 sd-kdr-gidro61-p2 Гидростроителей, д. 61
10.229.119.19 or-kdr-gidro63-p1 Гидростроителей, д. 63
10.229.119.22 or-kdr-gidro63-p2 Гидростроителей, д. 63
10.229.121.29 or-kdr-krasnpar107-p1 Красных Партизан, д. 107
10.229.121.30 or-kdr-krasnpar107-p2 Красных Партизан, д. 107
10.229.121.24 or-kdr-krasnpar107-p3 Красных Партизан, д. 107
10.229.121.25 or-kdr-krasnpar109-p1 Красных Партизан, д. 109
10.229.112.166 sd-kdr-cherk60-p1 Черкасская, д. 60
10.229.112.176 sd-kdr-cherk129-p1 Черкасская, д. 129
10.229.121.28 or-kdr-krasnpar109-p2 Красных Партизан, д. 109
10.229.121.27 or-kdr-krasnpar109-p3 Красных Партизан, д. 109
10.229.121.26 or-kdr-krasnpar109-p4 Красных Партизан, д. 109
10.229.112.167 or-kdr-cherk60-p2 Черкасская, д. 60
10.229.112.168 or-kdr-cherk60-p3 Черкасская, д. 60
10.229.112.172 or-kdr-cherk60-p4 Черкасская, д. 60
10.229.112.169 sd-kdr-cherk131-p1 Черкасская, д. 131
10.229.112.175 or-kdr-cherk129-p2 Черкасская, д. 129
10.229.112.174 or-kdr-cherk129-p3 Черкасская, д. 129
10.229.112.170 or-kdr-cherk131-p2 Черкасская, д. 131
10.229.112.171 sd-kdr-cherk131-p3 Черкасская, д. 131
10.229.112.181 or-kdr-cherk133-p1 Черкасская, д. 133
10.229.112.177 sd-kdr-yatskova16-p1 Яцкова И.В., д. 16
10.229.112.184 or-kdr-cherk133-p2 Черкасская, д. 133
10.229.112.185 sd-kdr-cherk133-p3 Черкасская, д. 133
10.229.112.178 or-kdr-yatskova16-p2 Яцкова И.В., д. 16
10.229.112.207 sd-kdr-yatskova20-p1 Яцкова И.В., д. 20
10.229.117.33 or-kdr-chekistov42-p10 Чекистов, д. 42
10.229.112.179 or-kdr-yatskova16-p3 Яцкова И.В., д. 16
10.229.112.173 sd-kdr-yatskova16-p4 Яцкова И.В., д. 16
10.229.112.180 or-kdr-yatskova20-p2 Яцкова И.В., д. 20
10.229.112.182 or-kdr-yatskova20-p3 Яцкова И.В., д. 20
10.229.112.183 or-kdr-yatskova20-p4 Яцкова И.В., д. 20
10.229.117.32 or-kdr-chekistov42-p9 Чекистов, д. 42
10.229.117.27 or-kdr-chekistov42-p3 Чекистов, д. 42
10.229.117.28 or-kdr-chekistov42-p4 Чекистов, д. 42
10.229.117.29 or-kdr-chekistov42-p5 Чекистов, д. 42
10.229.117.30 or-kdr-chekistov42-p6 Чекистов, д. 42
10.229.117.82 sd-kdr-chekistov42-p7 Чекистов, д. 42
10.229.117.31 or-kdr-chekistov42-p8 Чекистов, д. 42
10.229.122.27 or-kdr-sormo212-p1 Сормовская, д. 212
10.229.122.15 or-kdr-sormo214-p1 Сормовская, д. 214
10.229.122.20 or-kdr-sormo216-p1 Сормовская, д. 216
10.229.122.19 sd-kdr-sormo218-p1 Сормовская, д. 218
10.229.122.26 sd-kdr-sormo212-p2 Сормовская, д. 212
10.229.122.14 or-kdr-sormo214-p2 Сормовская, д. 214
10.229.122.21 or-kdr-sormo216-p2 Сормовская, д. 216
10.229.122.18 or-kdr-sormo216-p3 Сормовская, д. 216
10.229.122.17 sd-kdr-sormo216-p4 Сормовская, д. 216
10.229.122.16 sd-kdr-sormo216-p5 Сормовская, д. 216
10.229.122.73 sd-kdr-sormo218-p2 Сормовская, д. 218
10.228.109.91 or-kdr-agrohim85-p1 Агрохимическая, д. 85
10.229.117.38 or-kdr-70lo15-p1 70-летия Октября, д. 15
10.229.117.70 or-kdr-luchko8-p1 Клары Лучко, д. 8
10.229.117.37 or-kdr-70lo15-p2 70-летия Октября, д. 15
10.229.117.34 sd-kdr-70lo15-p3 70-летия Октября, д. 15
10.229.117.69 sd-kdr-luchko8-p2 Клары Лучко, д. 8
10.229.117.64 sd-kdr-luchko10-p1 Клары Лучко, д. 10
10.229.117.134 sd-kdr-luchko10-p2 Клары Лучко, д. 10
10.229.117.85 sd-kdr-luchko10-p3 Клары Лучко, д. 10
10.229.117.63 sd-kdr-luchko10-p4 Клары Лучко, д. 10
10.229.117.67 sd-kdr-luchko12-p1 Клары Лучко, д. 12
10.229.117.71 or-kdr-shifrina1-p1 И.Л. Шифрина, д. 1
10.229.117.66 or-kdr-luchko12-p2 Клары Лучко, д. 12
10.229.117.65 or-kdr-luchko12-p3 Клары Лучко, д. 12
10.229.117.73 or-kdr-shifrina1-p2 И.Л. Шифрина, д. 1
10.229.117.72 or-kdr-shifrina1-p3 И.Л. Шифрина, д. 1
10.229.117.8 or-kdr-shifrina5-p1 И.Л. Шифрина, д. 5
10.229.117.9 or-kdr-shifrina5-p2 И.Л. Шифрина, д. 5
10.229.117.10 or-kdr-shifrina5-p3 И.Л. Шифрина, д. 5
10.229.117.11 or-kdr-shifrina5-p4 И.Л. Шифрина, д. 5
10.229.117.12 or-kdr-shifrina5-p5 И.Л. Шифрина, д. 5
10.229.117.17 or-kdr-shifrina7-p1 И.Л. Шифрина, д. 7
10.229.117.16 or-kdr-shifrina7-p2 И.Л. Шифрина, д. 7
10.229.117.15 or-kdr-shifrina7-p3 И.Л. Шифрина, д. 7
10.229.117.18 sd-kdr-luchko16-p1 Клары Лучко, д. 16
10.229.117.19 or-kdr-luchko16-p2 Клары Лучко, д. 16
10.229.117.20 or-kdr-luchko16-p3 Клары Лучко, д. 16
10.229.117.21 or-kdr-luchko16-p4 Клары Лучко, д. 16
10.229.117.14 sd-kdr-luchko14-1-p1 Клары Лучко, д. 14/к.1
10.229.117.13 sd-kdr-luchko14-2-p1 Клары Лучко, д. 14/к.2
10.229.117.22 sd-kdr-luchko14-3-p1 Клары Лучко, д. 14/к.3
10.229.117.36 or-kdr-luchko6-p1 Клары Лучко, д. 6
10.228.108.231 or-kdr-angar2-1-p1 Ангарская, д. 2/к.1
10.229.117.35 sd-kdr-luchko6-p2 Клары Лучко, д. 6
10.228.109.224 or-kdr-angar2-1-p2 Ангарская, д. 2/к.1
10.228.109.223 or-kdr-angar2-1-p3 Ангарская, д. 2/к.1
10.228.110.250 or-kdr-angar2-6-p1 Ангарская, д. 2/к.6
10.228.110.252 or-kdr-angar2-6-p2 Ангарская, д. 2/к.6
10.228.110.251 or-kdr-angar2-6-p3 Ангарская, д. 2/к.6
10.229.122.31 or-kdr-sormo210-p1 Сормовская, д. 210
10.229.122.72 or-kdr-sormo204-b-p1 Сормовская, д. 204/к.б
10.229.122.22 sd-kdr-sormo210-p2 Сормовская, д. 210
10.229.122.23 or-kdr-sormo210-p3 Сормовская, д. 210
10.229.122.24 sd-kdr-sormo210-p4 Сормовская, д. 210
10.229.122.25 or-kdr-sormo210-p5 Сормовская, д. 210
10.228.108.230 or-kdr-zhigul15-p1 Жигулёвская, д. 15
10.228.109.222 or-kdr-zhigul15-p2 Жигулёвская, д. 15
10.228.109.221 or-kdr-zhigul15-p3 Жигулёвская, д. 15
10.229.116.54 or-kdr-gertsena192-p6 Герцена, д. 192
10.229.114.67 or-kdr-kotlyarova16-p2 Котлярова Н.С., д. 16
10.229.114.86 or-kdr-kotlyarova18-p2 Котлярова Н.С., д. 18
10.229.114.15 or-kdr-kotlyarova19-p2 Котлярова Н.С., д. 19
10.229.114.47 or-kdr-kotlyarova19-p3 Котлярова Н.С., д. 19
10.229.114.48 or-kdr-kotlyarova19-p4 Котлярова Н.С., д. 19
10.229.114.77 or-kdr-kotlyarova19-p5 Котлярова Н.С., д. 19
10.229.114.74 or-kdr-kotlyarova21-p2 Котлярова Н.С., д. 21
10.229.114.75 or-kdr-kotlyarova21-p3 Котлярова Н.С., д. 21
10.229.114.173 or-kdr-kotlyarova21-p4 Котлярова Н.С., д. 21
10.229.114.65 or-kdr-kotlyarova22-p2 Котлярова Н.С., д. 22
10.229.114.25 or-kdr-kotlyarova24-p2 Котлярова Н.С., д. 24
10.229.112.188 or-kdr-vkrug46-a-p2 Восточно-Кругликовская, д. 46/к.А
10.229.117.136 or-kdr-novoros180-p5 Новороссийская, д. 180
10.229.115.9 or-kdr-kozhev42-1-p1 Кожевенная, д. 42/к.1
10.229.117.126 or-kdr-prom19-p2 Промышленная, д. 19
10.229.116.10 or-kdr-ciolk5-p2 Циолковского, д. 5
10.228.109.171 or-kdr-chaikov25-p4 Чайковского П.И., д. 25
10.228.109.155 or1-kdr-dunaev22-b-p5 Дунаевского И.И., д. 22/к.б
10.228.109.108 or-kdr-dunaev22-a-p1 Дунаевского И.И., д. 22/к.а
10.228.109.154 or-kdr-dunaev22-a-p2 Дунаевского И.И., д. 22/к.а
10.229.119.68 or-kdr-trudo5-p2 Трудовой Славы, д. 5
10.229.119.35 or-kdr-trudo7-p2 Трудовой Славы, д. 7
10.229.117.155 or-kdr-taganrog4-p6 Таганрогская, д. 4
10.229.120.67 or-kdr-derbent18-p3 Дербентская, д. 18
10.229.120.5 or-kdr-derbent18-3-p2 Дербентская, д. 18/к.3
10.229.120.43 or-kdr-derbent18-3-p3 Дербентская, д. 18/к.3
10.229.117.121 or-kdr-yankovskogo1-p4 Янковского, д. 1
10.228.110.134 or-kdr-2prshalyapina4 Шаляпина, д. 4
10.229.114.182 sd-kdr-kotlyarova10-p2 Котлярова Н.С., д. 10
10.229.122.68 or-kdr-simfe2-2-p2 Симферопольская, д. 2/к.2
10.229.118.13 or-kdr-kim143-1-p2 КИМ, д. 143/к.1
10.229.118.31 or-kdr-kim143-1-p3 КИМ, д. 143/к.1
10.229.119.15 or-kdr-stavr45-2-p2 Ставропольская, д. 45/к.2
10.229.119.7 or-kdr-stavr80-p6 Ставропольская, д. 80
10.229.124.25 or-kdr-9tih21-p2 9-я Тихая, д. 21
10.229.116.126 or-kdr-simirenko39-p1 Симиренко, д. 39
10.229.116.96 or-kdr-simirenko16-p1 Симиренко, д. 16
10.229.116.97 or-kdr-simirenko39-p2 Симиренко, д. 39
10.229.116.100 or-kdr-simirenko16-p2 Симиренко, д. 16
10.229.116.98 or-kdr-simirenko18-p1 Симиренко, д. 18
10.229.116.99 or-kdr-simirenko18-p2 Симиренко, д. 18
10.229.116.131 or-kdr-simirenko37-1-p1 Симиренко, д. 37/к.1
10.229.116.129 or1-kdr-simirenko37-1-p2 Симиренко, д. 37/к.1
10.229.116.130 or2-kdr-simirenko37-1-p2 Симиренко, д. 37/к.1
10.229.116.127 or2-kdr-simirenko37-1-p3 Симиренко, д. 37/к.1
10.229.116.128 or1-kdr-simirenko37-1-p3 Симиренко, д. 37/к.1
10.229.116.101 or2-kdr-simirenko37-2-p1 Симиренко, д. 37/к.2
10.229.116.93 or2-kdr-simirenko37-3-p1 Симиренко, д. 37/к.3
10.229.116.94 or1-kdr-simirenko37-2-p1 Симиренко, д. 37/к.2
10.229.116.91 or2-kdr-simirenko37-2-p2 Симиренко, д. 37/к.2
10.229.116.90 or1-kdr-simirenko37-2-p2 Симиренко, д. 37/к.2
10.229.116.95 or-kdr-simirenko37-2-p3 Симиренко, д. 37/к.2
10.229.116.92 or1-kdr-simirenko37-3-p1 Симиренко, д. 37/к.3
10.229.117.76 or-kdr-70lo1-3-p1 70-летия Октября, д. 1/к.3
10.229.117.46 or-kdr-70lo1-4-p1 70-летия Октября, д. 1/к.4
10.229.117.75 or-kdr-70lo1-3-p2 70-летия Октября, д. 1/к.3
10.229.117.45 or-kdr-70lo1-4-p2 70-летия Октября, д. 1/к.4
10.229.117.44 or-kdr-70lo1-4-p3 70-летия Октября, д. 1/к.4
10.229.117.39 or-kdr-70lo1-5-p1 70-летия Октября, д. 1/к.5
10.229.117.40 or-kdr-70lo1-5-p2 70-летия Октября, д. 1/к.5
10.229.117.41 or-kdr-70lo1-5-p3 70-летия Октября, д. 1/к.5
10.229.117.87 or-kdr-70lo1-1-p1 70-летия Октября, д. 1/к.1
10.229.117.74 or-kdr-70lo1-3-p3 70-летия Октября, д. 1/к.3
10.229.117.78 or-kdr-70lo1-1-p2 70-летия Октября, д. 1/к.1
10.229.117.77 or-kdr-70lo1-1-p3 70-летия Октября, д. 1/к.1
10.228.109.44 or1-kdr-korenov67-p1 Кореновская, д. 67
10.228.109.45 or1-kdr-korenov67-p2 Кореновская, д. 67
10.228.109.156 or-kdr-esenina108-7-a-p2 Сергея Есенина, д. 108/к.7а
10.228.110.103 or-kdr-dzer93-p1 Дзержинского, д. 93
10.228.110.146 or1-kdr-dzer93-1-p2 Дзержинского, д. 93/к.1
10.228.110.104 or-kdr-dzer93-p2 Дзержинского, д. 93
10.229.119.32 or-kdr-nevki16-p3 Невкипелого, д. 16
10.229.119.10 or-kdr-nevki16-p4 Невкипелого, д. 16
10.229.113.59 or-kdr-vkrug22-p1 Восточно-Кругликовская, д. 22
10.229.113.60 or-kdr-vkrug24-p1 Восточно-Кругликовская, д. 24
10.229.113.61 or-kdr-vkrug24-p2 Восточно-Кругликовская, д. 24
10.229.113.62 or-kdr-vkrug26-p1 Восточно-Кругликовская, д. 26
10.229.113.50 or1-kdr-vkrug22-3-p1 Восточно-Кругликовская, д. 22/к.3
10.229.113.63 or-kdr-vkrug26-p2 Восточно-Кругликовская, д. 26
10.229.113.49 or1-kdr-vkrug22-3-p2 Восточно-Кругликовская, д. 22/к.3
10.229.113.48 or1-kdr-vkrug22-3-p3 Восточно-Кругликовская, д. 22/к.3
10.229.113.47 or1-kdr-vkrug22-3-p4 Восточно-Кругликовская, д. 22/к.3
10.229.113.53 or1-kdr-vkrug22-3-p5 Восточно-Кругликовская, д. 22/к.3
10.229.113.54 or-kdr-vkrug22-3-p6 Восточно-Кругликовская, д. 22/к.3
10.229.113.55 or-kdr-vkrug28-2-p1 Восточно-Кругликовская, д. 28/к.2
10.229.113.56 or-kdr-vkrug28-2-p2 Восточно-Кругликовская, д. 28/к.2
10.229.113.57 or-kdr-vkrug28-2-p3 Восточно-Кругликовская, д. 28/к.2
10.229.113.58 or-kdr-vkrug28-2-p4 Восточно-Кругликовская, д. 28/к.2
10.229.113.44 or-kdr-vkrug28-2-p5 Восточно-Кругликовская, д. 28/к.2
10.229.113.43 or-kdr-vkrug28-2-p7 Восточно-Кругликовская, д. 28/к.2
10.229.113.45 or-kdr-vkrug28-3-p2 Восточно-Кругликовская, д. 28/к.3
10.229.113.46 or-kdr-vkrug28-3-p3 Восточно-Кругликовская, д. 28/к.3
10.229.113.51 or-kdr-vkrug28-3-p4 Восточно-Кругликовская, д. 28/к.3
10.229.113.52 or-kdr-vkrug28-3-p5 Восточно-Кругликовская, д. 28/к.3
10.229.113.38 or1-kdr-vkrug18-1-p1 Восточно-Кругликовская, д. 18/к.1
10.229.113.39 or1-kdr-vkrug18-1-p2 Восточно-Кругликовская, д. 18/к.1
10.229.113.40 or1-kdr-vkrug18-1-p3 Восточно-Кругликовская, д. 18/к.1
10.229.113.41 or1-kdr-vkrug18-1-p4 Восточно-Кругликовская, д. 18/к.1
10.229.113.42 or1-kdr-vkrug18-1-p5 Восточно-Кругликовская, д. 18/к.1
10.229.113.74 or1-kdr-vkrug34-p1 Восточно-Кругликовская, д. 34
10.229.113.73 or-kdr-vkrug34-p3 Восточно-Кругликовская, д. 34
10.229.116.60 or-kdr-kazbek13-p2 Казбекская, д. 13
10.229.113.33 or-kdr-zhloby139-p1 Жлобы, д. 139
10.229.113.34 or-kdr-zhloby139-p2 Жлобы, д. 139
10.229.113.35 or-kdr-zhloby139-p3 Жлобы, д. 139
10.229.113.117 or-kdr-zhloby139-p4 Жлобы, д. 139
10.229.113.36 or-kdr-zhloby139-p5 Жлобы, д. 139
10.229.113.37 or-kdr-zhloby139-p6 Жлобы, д. 139
10.229.113.6 or-kdr-zhloby145-p1 Жлобы, д. 145
10.229.113.9 or-kdr-zhloby141-p2 Жлобы, д. 141
10.229.113.8 or-kdr-zhloby141-p3 Жлобы, д. 141
10.229.113.7 or-kdr-zhloby141-p4 Жлобы, д. 141
10.229.113.29 or-kdr-zhloby141-p5 Жлобы, д. 141
10.229.113.5 or-kdr-zhloby145-p2 Жлобы, д. 145
10.229.113.28 or-kdr-zhloby145-p3 Жлобы, д. 145
10.229.113.30 or-kdr-zhloby145-p4 Жлобы, д. 145
10.229.113.31 or-kdr-zhloby145-p5 Жлобы, д. 145
10.229.113.32 or-kdr-zhloby145-p6 Жлобы, д. 145
10.229.120.54 or-kdr-vologod2-p1 Вологодская, д. 2
10.229.120.51 or-kdr-vologod8-p2 Вологодская, д. 8
10.229.120.71 or-kdr-vologod22-p1 Вологодская, д. 22
10.229.120.53 or-kdr-vologod19-p1 Вологодская, д. 19
10.229.121.36 or-kdr-lukjanenko103-p2 Лукьяненко П.П., д. 103
10.229.116.70 lb-kdr-turgeneva141-p2 Тургенева, д. 141
10.229.119.16 or-kdr-ugoln12-p1 Угольный, д. 12
10.229.116.22 or-kdr-repina20-p1 Репина, д. 20
10.229.121.8 or-kdr-lukjanenko30-p3 Лукьяненко П.П., д. 30
10.229.121.9 or-kdr-lukjanenko30-p4 Лукьяненко П.П., д. 30
10.228.108.200 or-kdr-rahman3-p2 Рахманинова С.В., д. 3
10.229.113.72 or-kdr-vkrug30-p3 Восточно-Кругликовская, д. 30
10.229.117.141 or-kdr-volzh77-p2 Волжская, д. 77
10.229.113.67 or-kdr-vkrug30-2-p1 Восточно-Кругликовская, д. 30/к.2
10.229.113.66 or-kdr-vkrug30-2-p2 Восточно-Кругликовская, д. 30/к.2
10.229.113.65 or-kdr-vkrug30-2-p3 Восточно-Кругликовская, д. 30/к.2
10.229.113.64 or-kdr-vkrug30-1-p1 Восточно-Кругликовская, д. 30/к.1
10.229.113.68 or-kdr-vkrug30-1-p2 Восточно-Кругликовская, д. 30/к.1
10.229.113.71 or-kdr-vkrug32-p1 Восточно-Кругликовская, д. 32
10.229.113.70 or-kdr-vkrug32-p2 Восточно-Кругликовская, д. 32
10.229.113.69 or-kdr-vkrug32-p3 Восточно-Кругликовская, д. 32
10.229.117.112 or-kdr-prom21-9-p2 Промышленная, д. 21/к.9
10.229.121.87 or1-kdr-lukjanenko26-1-p1 Лукьяненко П.П., д. 26/к.1
10.229.116.74 or-kdr-kazbek17-p1 Казбекская, д. 17
10.229.116.72 or2-kdr-kazbek19-p1 Казбекская, д. 19
10.229.116.75 or-kdr-kazbek17-p2 Казбекская, д. 17
10.229.116.76 or-kdr-kazbek17-p3 Казбекская, д. 17
10.229.116.73 or-kdr-kazbek19-p1 Казбекская, д. 19
10.229.122.71 or-kdr-sormo9-p2 Сормовская, д. 9
10.229.122.29 or-kdr-sormo9-1-p2 Сормовская, д. 9/к.1
10.229.122.69 or-kdr-sormo9-2-p2 Сормовская, д. 9/к.2
10.229.120.11 or-kdr-1may298-p2 1-го Мая, д. 298
10.229.121.41 or-kdr-slav54-p2 Славянская, д. 54
10.229.121.42 or-kdr-slav54-p3 Славянская, д. 54
10.228.111.151 sd-kdr-garazh71-1-p2 Гаражная, д. 71/1
10.229.113.15 or-kdr-vkrug28-p1 Восточно-Кругликовская, д. 28
10.229.113.22 or-kdr-vkrug22-2-p1 Восточно-Кругликовская, д. 22/2
10.229.113.16 or-kdr-vkrug28-1-p1 Восточно-Кругликовская, д. 28/1
10.229.113.14 or-kdr-vkrug28-p2 Восточно-Кругликовская, д. 28
10.229.113.10 or-kdr-vkrug28-p3 Восточно-Кругликовская, д. 28
10.229.113.13 or-kdr-vkrug28-p4 Восточно-Кругликовская, д. 28
10.229.113.12 or-kdr-vkrug28-p5 Восточно-Кругликовская, д. 28
10.229.113.11 or-kdr-vkrug28-p6 Восточно-Кругликовская, д. 28
10.229.113.21 or-kdr-vkrug28-p7 Восточно-Кругликовская, д. 28
10.229.113.23 or-kdr-vkrug22-2-p2 Восточно-Кругликовская, д. 22/2
10.229.113.24 or-kdr-vkrug22-2-p3 Восточно-Кругликовская, д. 22/2
10.229.113.25 or-kdr-vkrug22-2-p4 Восточно-Кругликовская, д. 22/2
10.229.113.26 or-kdr-vkrug22-2-p5 Восточно-Кругликовская, д. 22/2
10.229.113.27 or-kdr-vkrug22-2-p6 Восточно-Кругликовская, д. 22/2
10.229.113.17 or-kdr-vkrug28-1-p2 Восточно-Кругликовская, д. 28/1
10.229.113.18 or-kdr-vkrug28-1-p3 Восточно-Кругликовская, д. 28/1
10.229.113.19 or-kdr-vkrug28-1-p4 Восточно-Кругликовская, д. 28/1
10.229.113.20 or-kdr-vkrug28-1-p5 Восточно-Кругликовская, д. 28/1
10.228.110.198 or-kdr-chaikov21-p1 Чайковского П.И., д. 21
10.228.110.212 or-kdr-chaikov23-1-p1 Чайковского П.И., д. 23/1
10.228.110.234 or-kdr-chaikov23-2-p1 Чайковского П.И., д. 23/2
10.228.110.153 or-kdr-chaikov23-3-p1 Чайковского П.И., д. 23/3
10.228.111.20 or1-kdr-zhigulenko4-p1 Евгении Жигуленко, д. 4
10.228.111.52 or3-kdr-metalnikova5-1-p1 Петра Метальникова, д. 5/к.1
10.228.111.39 or2-kdr-zhigulenko4-p1 Евгении Жигуленко, д. 4
10.228.111.45 or3-kdr-zhigulenko4-p1 Евгении Жигуленко, д. 4
10.228.111.44 or3-kdr-zhigulenko4-p2 Евгении Жигуленко, д. 4
10.228.111.6 or1-kdr-zhigulenko4-p2 Евгении Жигуленко, д. 4
10.228.111.13 or2-kdr-zhigulenko4-p2 Евгении Жигуленко, д. 4
10.228.111.43 or2-kdr-zhigulenko4-p3 Евгении Жигуленко, д. 4
10.228.111.51 or3-kdr-zhigulenko4-p3 Евгении Жигуленко, д. 4
10.228.111.12 or1-kdr-zhigulenko4-p3 Евгении Жигуленко, д. 4
10.228.111.19 or2-kdr-metalnikova5-1-p1 Петра Метальникова, д. 5/к.1
10.228.111.18 or1-kdr-metalnikova5-1-p1 Петра Метальникова, д. 5/к.1
10.228.111.28 or2-kdr-metalnikova5-1-p2 Петра Метальникова, д. 5/к.1
10.228.111.63 or3-kdr-metalnikova5-1-p2 Петра Метальникова, д. 5/к.1
10.228.111.17 or1-kdr-metalnikova5-1-p2 Петра Метальникова, д. 5/к.1
10.228.111.38 or2-kdr-metalnikova5-1-p3 Петра Метальникова, д. 5/к.1
10.228.111.62 or3-kdr-metalnikova5-1-p3 Петра Метальникова, д. 5/к.1
10.228.111.16 or1-kdr-metalnikova5-1-p3 Петра Метальникова, д. 5/к.1
